No,URL,Title,Topic,Tags,NSMI-TLT,Body,Attorneys / Legal Services
31,http://www.kansaslegalservices.org/node/78,Legal Rights During and After Bankruptcy,"Debt and Debt Collection
Bankruptcy",,Consumer,"Bankruptcy is a choice that may help if you are facing serious financial problems. You may be able to cancel your debts, stop collection calls, and get a fresh financial start. Bankruptcy can help with some financial problems, but does not guarantee you will avoid financial problems in the future. If you choose bankruptcy, you should take advantage of the fresh start it offers and then make careful decisions about future borrowing and credit, so you won’t ever need to file bankruptcy again!&nbsp;&nbsp;",
32,http://www.kansaslegalservices.org/node/79,Using Credit Wisely,"Debt and Debt Collection
Bankruptcy",,Consumer,This brochure discusses how to use your credit in a way that avoids bankruptcy and things to think about before you use a credit card. It is very specific about what to look for before you get a new credit card and how to use an existing card. It even discusses how to avoid unnecessary fees and charges.&nbsp;,
33,http://www.kansaslegalservices.org/node/81,Consumer Complaint Form,Consumer Laws,,Consumer,File your consumer complaint directly with the Attorney General's office.&nbsp;&nbsp;http://www.ksag.org/page/file-a-complaint,
34,http://www.kansaslegalservices.org/node/82,Consumer Tips for Preventing Internet Fraud,"Consumer Laws
General",,Consumer,"Attorney General's Office information to assist prevention and reporting of internet fraud.&nbsp;

http://ag.ks.gov/consumer-protection/consumer-tips
",
35,http://www.kansaslegalservices.org/node/83,Identity Theft,"Consumer Laws
Credit",,Consumer,"What you need to know about how to protect yourself and what to do when it happens.&nbsp;

&nbsp;
",
36,http://www.kansaslegalservices.org/node/84,Kansas Attorney General Consumer Protection ,Consumer Laws,consumer protection,Consumer,"The following link is for consumer laws and protections provided by a division of the Attorney General's Office.&nbsp;


	You can get useful info on recent recalls, identity theft, tips for buying cars, and more.
	There are many resources linked on the page that you may find helpful. These include annual reports and how to file a complaint.
	There is also a link on the page to sign up for do-not-call lists. It's one way to avoid pesky calls from telemarketers.


Attorney General Consumer Protection Division
",
37,http://www.kansaslegalservices.org/node/85,Small Claims Court Help,"Consumer Laws
ProBono.Net",,Consumer,"This brochure will give you the information you need to represent yourself in Small Claims Court. It will answer your questions about whether your claim belongs in that court and how to file your claim.&nbsp;

Small Claims Court Brochure
",
38,http://www.kansaslegalservices.org/node/86,Claim of Exemption,"Credit
Disability
Debt and Debt Collection",,Consumer,File this form to ask for a court hearing when your income is exempt from garnishment in a collections matter.&nbsp;,
39,http://www.kansaslegalservices.org/node/87,Debt Collection Information,Debt and Debt Collection,,Consumer,"This brochure talks about your options as a consumer when debt or debt collection becomes too much to handle.

Nearly all of the 2 to 3% of the households who are behind on their bills were current until they faced a sudden blow to their wallets. Such blows include job loss, illness or other setbacks. Sometimes it is tempting to give in to the daily appeals in their mailbox to borrow, borrow, borrow.

To help consumers, the feds and states have laws to stop abuse, deceit and unfair practices by debt collectors.

Find out more in the brochure below.
",
40,http://www.kansaslegalservices.org/node/88,"Kansas Housing and Credit Counseling, Inc.",Debt and Debt Collection,,Consumer,"Housing &amp; Credit Counseling Inc.(HCCI) &nbsp;is available in person at Topeka, Lawrence, Manhattan and Emporia office locations.

The ""contact us page"" provides both the address and phone number to find locations and schedule an appointment.

Interviews are confidential and can be held in person, by phone, mail or Internet. No one is turned away because of inability to pay.

This service is available to anyone regardless of race, sex, creed, color, and/or social or financial position. The counselor will help you determine if you will be eligible for a debt repayment plan.

&nbsp;
",
41,http://www.kansaslegalservices.org/node/89,Payday Loan Information,Debt and Debt Collection,"pay day
Payday
Loans",Consumer,"In recent years, the majority of mainstream lenders have left the small loan market, leaving a vacuum being filled by companies offering payday loans. These are extremely high interest loans that extend until the borrower's next pay check. This article discusses the ways in which payday loans negatively affect low income families who are least able to get other types of credit.&nbsp;Payday Loans",
42,http://www.kansaslegalservices.org/node/90,Wage Garnishment,Debt and Debt Collection,,Consumer,"This site has wage garnishment for many states, including Kansas. It has only basic information and does not apply to a garnishment for child support, only debts.&nbsp;http://www.fair-debt-collection.com/state-wage-garnishments.html#17",
46,http://www.kansaslegalservices.org/node/96,Attorney General On Payday Loans,Payday Lenders,pay day,Consumer,"This information will give you a better look at the problems with payday loans, as well as alternatives. In a nutshell, a payday loan organizations prey on low-income families with fewer resources for cash but often end up making their financial situation worse. Please read this before you consider a payday loan.&nbsp;&nbsp;Kansas Attorney General on Payday Loans",
47,http://www.kansaslegalservices.org/node/97,Kansas Payday Lender Statute,Payday Lenders,pay day,Consumer,"Explains what a payday lender can and cannot do under Kansas law. If you believe a payday lender has violated this statute, see the link to the Attorney General's Consumer Complaint form that can be filled out and submitted on the web.&nbsp;&nbsp;Kansas Payday Loan Statute&nbsp;Click here to file a consumer complaint form online with the Kansas Attorney General's office.",
50,http://www.kansaslegalservices.org/node/101,Small Claims Court Brochure,Small Claims Court,small claims,Consumer,"Explains the process and guidelines for small claims court.&nbsp;

Here is the link to the brochure, provided by the Attorney General's office and the Kansas Bar Association.
",
51,http://www.kansaslegalservices.org/node/102,Small Claims Court Information From The Attorney General,"Small Claims Court
ProBono.Net",,Consumer,"This brochure is put out by the Attorney General's Office and provides additional information on legal terms and the court process.

Small Claims Court
",
52,http://www.kansaslegalservices.org/node/103,Small Claims Court -- basic information,"Small Claims Court
ProBono.Net",,Consumer,"Kansas small claims court was established in 1973 to provide a simple, informal procedure for people to settle smaller legal problems cheaply and quickly. Americans have always had the right to represent themselves in a courtroom. In small claims court, the parties represent themselves on small legal matters without attorneys.


	Small claims court is only for simple cases to recover money or property worth less than $4,000.00.
	You cannot be represented by a lawyer in small claims.
	No person can file more than 20 small claims cases in one calendar year.
	The sheriff's office charges a fee to personally serve a summons.


Filing a Small Claims Case:


	Go to the Clerk of the District Court office in the County where the defendant resides.
	Have with you the name and address of the person being sued.
	The Clerk will provide you with a small claims filing packet.
	You may fill out the petition in the office or take it home to complete.
	When you turn in the completed petition, you must pay the filing fee and sheriff's charge if the summons is to be served personally.
	The Clerk will process the petition and set a trial date for your case.


&nbsp;

Here is a brochure from the Kansas Bar Association that may answer any more questions you have about small claims courts in Kansas.

&nbsp;
",
53,http://www.kansaslegalservices.org/node/104,Choosing An Education And Financing It,Student Loans,,Consumer,"Yes, there are scams in higher education and financing. Find out more about the options available and how to avoid a ""Degree of Deception"" that won't lead to better employment prospects. Also talk about fraudulent student scholarships and grants.&nbsp;http://www.ftc.gov/bcp/menus/consumer/education/educate.shtm",
54,http://www.kansaslegalservices.org/node/105,Federal Financial Aid,Student Loans,,Consumer,Here's the place to start if you are exploring federal financial aid for college. The site provides links to specific programs and how to apply for them.&nbsp;http://www2.ed.gov/finaid/landing.jhtml,
55,http://www.kansaslegalservices.org/node/106,Student Loan Assistance,Student Loans,,Consumer,"National Consumer Law Center’s Student Loan Borrower Assistance Project is a resource for borrowers, their families, and advocates representing student loan borrowers. This site is for people who already have student loans and want to know more about their options and rights.&nbsp;http://www.studentloanborrowerassistance.org",
56,http://www.kansaslegalservices.org/node/107,Student Loan Consolidation and Cancellation,Student Loans,,Consumer,"Applies to Stafford and other Federal Loan Programs. This site will give you information on how to qualify and how to apply. They stress the consolidation option, where you are able to get a lower interest rate and monthly payment, but the loan period is longer.&nbsp;&nbsp;http://www.staffordloan.com/repayment/forgiveness.php",
57,http://www.kansaslegalservices.org/node/108,Student Loan Foregiveness Programs,Student Loans,,Consumer,"Under certain circumstances, the federal government will cancel all or part of an educational loan. Look here to learn about several programs that are available and how to access them.&nbsp;http://www.finaid.org/loans/forgiveness.phtml",
58,http://www.kansaslegalservices.org/node/109,Student Loan Borrower Assistance,Student Loans,,Consumer,Website section of National Consumer Law Center&nbsp;http://www.studentloanborrowerassistance.org,
59,http://www.kansaslegalservices.org/node/110,Common Internet Scams,Sweepstakes and Prizes,,Consumer,"Often found on the internet but also by telephone, this scam has become common and many people have fallen for it&nbsp;",
60,http://www.kansaslegalservices.org/node/111,More Internet and Telephone Scams,"Elder Law
Sweepstakes and Prizes
General",,Consumer,"As more and more people find their way onto the internet, there are more dishonest ways to part them from their money. Be a smart consumer and make yourself aware of the common scams&nbsp;",
64,http://www.kansaslegalservices.org/node/115,Sweepstakes Fraud,Sweepstakes and Prizes,,Consumer,"This site gives information on what to look for to spot a scam. There are many ways to get your money and this site covers most of them. There are links to telephone, mail and internet scams.&nbsp;http://www.fraud.org/tips/internet/sweepstakes.htm",
65,http://www.kansaslegalservices.org/node/116,Crime Victims Rights,Sweepstakes and Prizes,,Consumer,"The Kansas Office of the Attorney General provides information for victims of crime. If someone was charged with a crime against you, this is what you can expect from the prosecutors office. Often, the prosecutor will have someone in their office who is responsible for communicating with you and helping you with the process.&nbsp;

Crime Victims Bill of Rights

&nbsp;
",
95,http://www.kansaslegalservices.org/node/153,Federal Financial Aid,Student Loans,,Consumer,Here's the place to start if you are exploring federal financial aid for college. The site provides links to specific programs and how to apply for them.&nbsp;http://www2.ed.gov/finaid/landing.jhtml,
96,http://www.kansaslegalservices.org/node/154,Student Loan Assistance ,Student Loans,,Consumer,"&nbsp;National Consumer Law Center’s Student Loan Borrower Assistance Project is a resource for borrowers, their families, and advocates representing student loan borrowers. This site is for people who already have student loans and want to know more about their options and rights.&nbsp;http://www.studentloanborrowerassistance.org",
97,http://www.kansaslegalservices.org/node/155,Student Loan Consolidation and Cancellation,Student Loans,,Consumer,"Applies to Stafford and other Federal Loan Programs. This site will give you information on how to qualify and how to apply. They stress the consolidation option, where you are able to get a lower interest rate and monthly payment, but the loan period is longer.&nbsp;&nbsp;http://www.staffordloan.com/repayment/forgiveness.php",
99,http://www.kansaslegalservices.org/node/157,Student Loan Borrower Assistance ,Student Loans,,Consumer,Website section of National Consumer Law Center&nbsp;http://www.studentloanborrowerassistance.org,
115,http://www.kansaslegalservices.org/node/185,Credit and the Elderly ,Credit,,Consumer,This is a quick question and answer about credit card debt and what happens when the debtor dies. There are also links to other legal issues facing the elderly and it is worthwhile to browse this site for more useful information.http://www.caring.com/questions/elderly-credit-card-debt-at-death,
163,http://www.kansaslegalservices.org/node/263,Children's Health Insurance,General,,Consumer,Information on the Healthwave Insurance Program for children.&nbsp;http://www.khpa.ks.gov/healthwave/,
180,http://www.kansaslegalservices.org/node/303,Quiet Title information and forms,Automobile,"quiet title
Car title",Consumer,"This set of forms is useful for filing a quiet title action.


	This may be needed when there is a problem that comes up after someone applies for a title to the vehicle through the DMV. Quiet Title may help fix some snags related to those issues.
	This packet explains several things: What are quiet title actions? How are they are done? What do I need to do one myself? What forms do I use?
	This is a great step by step guide and tool for anyone. Whether you just want to know more or are trying to start an action right away, the document below should prove helpful.


&nbsp;Current as of 4/2016.
",Social Security Disability Benefits
182,http://www.kansaslegalservices.org/node/308,What To Do When a Collector Calls,Debt and Debt Collection,"harrassment calls
Debt Collection
Creditor calls",Consumer,This client-focused handout contains information and tips about how to handle a call from a collector or someone collecting a debt on another's behalf. Current as of 11.11&nbsp;,
237,http://www.kansaslegalservices.org/node/1177,Credit Report Dispute Letter,Debt and Debt Collection,"Credit
Debt
Fraud
Credit Bureau
Transunion
Equifax
Experian
Credit Report
Credit Dispute",Consumer,"Your&nbsp;credit score is&nbsp;a tool businesses use to measure&nbsp;your creditworthiness -&nbsp;how likely it is that&nbsp;you will&nbsp;repay a loan.&nbsp; Equifax, Experian and Transunion each compile a report of your credit&nbsp; history to determine your credit score.&nbsp; Occassionally, there will be errors in your credit history that will adversely effect your credit score and your ability to borrow money.&nbsp;You can access your free&nbsp;credit report online at www.annualcreditreport.com.&nbsp; (This is a free report that you are entitled by law to access from each company&nbsp;once a year.&nbsp; Avoid any option that charges you a fee for access.)The first step in disputing this error is to give notice to the credit bureau that you believe there is an error in your credit history.&nbsp; Follow the link below to complete an interactive online interview that&nbsp; will allow you to create a letter to send to&nbsp;the credit bureau&nbsp;to give notice of this error.Click Here to access the Credit Report Dispute Interview",
238,http://www.kansaslegalservices.org/node/1178,Stop Contact Letter,Debt and Debt Collection,"No Contact
Fair Debt Collection Act
Creditor Phone Calls
Creditor Harassment
Collection Agency",Consumer,The Fair Debt Collections Practices&nbsp;Act is a federal law that requires collection agencies to stop contacting you if you send them a letter stating that you wish to stop contact.&nbsp; Complete the interview in the link below to create this letter.&nbsp;Stop Contact Letter InterviewCreditors still have the option of pursuing legal action against you.&nbsp; This will not make your debt go away.&nbsp;,
239,http://www.kansaslegalservices.org/node/1186,Debt Validation Letter,Debt and Debt Collection,"validation
owe
Fair Debt Collection Practices Act
debt
Consumer
collector
collection",Consumer,"Debt Validation LetterThis interview allows consumers to create a Debt Validation Letter which they can send to debt collectors demanding that they provide information required by the Fair Debt Collection Practices Act before they can proceed with collection of the debt.For more information, see Section 809 of the Fair Debt Collection Practices Act.",
240,http://www.kansaslegalservices.org/node/1188,Consumer,Consumer,,Consumer,"Please check this page frequently for the latest in news that affects you as a consumer.&nbsp;

We also have several free legal forms on our Free Legal Forms page that help with Consumer problems.

Brochure&nbsp;on services offered by Kansas Legal Services

Do you know how the U.S. Consumer Financial Protection Bureau has helped YOU?&nbsp;

&nbsp;Important News if Your Social Security Benefits Have Been Cut Off&nbsp;&nbsp;&nbsp;&nbsp;

The office of the State Bank Commissioner of Kansas can help if your Social Security benefits have been garnished and your bank didn't stop it from happening. &nbsp;Go here.

About Obamacare

Consumer News

Consumers

Are you a consumer with a complaint or desiring more information?

Consumer Assistance

&nbsp;

Here is a link to the&nbsp;Office of the&nbsp;State Bank Commissioner of Kansas&nbsp;where you can&nbsp;file a complaint&nbsp; about a bank or financial institution or find&nbsp;consumer-related resources&nbsp;that may be helpful to you.


Identity Theft

Tax Identity Theft Awareness

Check out our&nbsp;Identity Theft&nbsp;page

Another resource for learning more about Identity Theft that helps you


	determine if you are the victim of Identity Theft and
	how to recover from Identity Theft is here.


The Federal Trade Commission has created this resource to help consumers.&nbsp; The letters suggested in this booklet can be created through the interactive interviews below.

The Federal Trade Commission offers&nbsp;forms and sample letters for victims

of identity theft&nbsp;that help you get started.

&nbsp;

Debt Collection - Loans

Debt Relief

Collection

Payday Loans

Notice to Creditor - If &nbsp;all your income is from Social Security, you are entitled to notify your creditor of this fact. &nbsp;This may discourage a creditor from going the the process of bank account attachment. Use this form to notify any creditor. &nbsp;A copy should be filed with the Court and a copy sent to the Creditor. &nbsp;No court costs are required for filing this notice.

Your bank should help you in notifying the creditor that only Social Security money goes to your account. &nbsp;The Bank is required to protect an amount up to total of two months of your Social Security benefits.&nbsp;If the bank doesn't help, you can file a complaint with the Controller of Currency, a Federal agency that oversees most banks. &nbsp;You can learn more about the bank's obligation regarding attachment &nbsp;here.

Obama Cuts Student-Debt Collector Commissions to Aid Borrowers

&nbsp;

Bankruptcy

Bankruptcy

Bankruptcy Counseling and Education through Housing &amp; Credit Counseling, Inc. (HCCI)

Kansas Legal Services&nbsp;provides consumer bankruptcy legal services through our Reduced Fee program. &nbsp;This program is limited to families or individuals with income at 250% of the Federal poverty guideline. &nbsp;Contact Kansas Legal Services at&nbsp;1-800-723-6953&nbsp;Or please&nbsp;apply online.

&nbsp;

Credit

How to Get a Free Credit Report&nbsp; in English &nbsp; or &nbsp;Espanol

Credit Report Dispute Letter &nbsp;Read about it here.

For tips from The National Consumer Law Center on what to check in your credit report,&nbsp;click here

To file a credit reporting complaint with the Consumer Financial Protection Bureau, a government agency that oversees the credit reporting industry,&nbsp;click here

&nbsp;

Housing



How to Get Help with Your Mortgage or Foreclosure

The National Mortgage Settlement&nbsp;will offer various forms of relief for distressed families who qualify. Details are still being ironed out, but this preliminary guide offers information for those who may be eligible.

FAQs on Emergency Homeonwners' Loan Program

&nbsp;

Fair Housing Rights &nbsp; &nbsp;

in &nbsp;&nbsp;English&nbsp; &nbsp; or &nbsp;&nbsp;Espanol&nbsp;

HUD Online Housing Complaint -- file it online &nbsp; &nbsp; &nbsp;&nbsp;

Avoiding Foreclosure

Kansas Tenant Rights

Protection for Domestic Violence Survivors in Federally Subsidized Housing



&nbsp;
",
246,http://www.kansaslegalservices.org/node/1204,Your Access to Free Credit Reports,,,Consumer,"In Espanol

The Fair Credit Reporting Act (FCRA) requires each of the nationwide consumer reporting companies — Equifax, Experian, and TransUnion — to provide you with a free copy of your credit report, at your request, once every 12 months. The FCRA promotes the accuracy and privacy of information in the files of the nation’s consumer reporting companies. The Federal Trade Commission (FTC), the nation’s consumer protection agency, enforces the FCRA with respect to consumer reporting companies.&nbsp;

A credit report includes information on where you live, how you pay your bills, and whether you’ve been sued or arrested, or have filed for bankruptcy. Nationwide consumer reporting companies sell the information in your report to creditors, insurers, employers, and other businesses that use it to evaluate your applications for credit, insurance, employment, or renting a home.

Here are the details about your rights under the FCRA and the Fair and Accurate Credit Transactions (FACT) Act, which established the free annual credit report program.

Q: How do I order my free report?

A:&nbsp;The three nationwide consumer reporting companies have set up a central website, a toll-free telephone number, and a mailing address through which you can order your free annual report.

To order, visit&nbsp;annualcreditreport.com, call 1-877-322-8228, or complete the Annual Credit Report Request Form and mail it to: Annual Credit Report Request Service, P.O. Box 105281, Atlanta, GA 30348-5281. The form is on the back of this brochure; or you can print it from&nbsp;ftc.gov/credit. Do not contact the three nationwide consumer reporting companies individually. They are providing free annual credit reports only through&nbsp;annualcreditreport.com, 1-877-322-8228, and Annual Credit Report Request Service, P.O. Box 105281, Atlanta, GA 30348-5281.

You may order your reports from each of the three nationwide consumer reporting companies at the same time, or you can order your report from each of the companies one at a time. The law allows you to order one free copy of your report from each of the nationwide consumer reporting companies every 12 months.

A Warning About “Imposter” Websites

Only one website is authorized to fill orders for the free annual credit report you are entitled to under law — annualcreditreport.com. Other websites that claim to offer “free credit reports,” “free credit scores,” or “free credit monitoring” are not part of the legally mandated free annual credit report program. In some cases, the “free” product comes with strings attached. For example, some sites sign you up for a supposedly “free” service that converts to one you have to pay for after a trial period. If you don’t cancel during the trial period, you may be unwittingly agreeing to let the company start charging fees to your credit card.

Some “imposter” sites use terms like “free report” in their names; others have URLs that purposely misspell annualcreditreport.com in the hope that you will mistype the name of the official site. Some of these “imposter” sites direct you to other sites that try to sell you something or collect your personal information.

Annualcreditreport.com and the nationwide consumer reporting companies will not send you an email asking for your personal information. If you get an email, see a pop-up ad, or get a phone call from someone claiming to be from annualcreditreport.com or any of the three nationwide consumer reporting companies, do not reply or click on any link in the message. It’s probably a scam. Forward any such email to the FTC at&nbsp;spam@uce.gov.

Q: What information do I need to provide to get my free report?

A: You need to provide your name, address, Social Security number, and date of birth. If you have moved in the last two years, you may have to provide your previous address. To maintain the security of your file, each nationwide consumer reporting company may ask you for some information that only you would know, like the amount of your monthly mortgage payment. Each company may ask you for different information because the information each has in your file may come from different sources.

Q: Why do I want a copy of my credit report?

A: Your credit report has information that affects whether you can get a loan — and how much you will have to pay to borrow money. You want a copy of your credit report to:


	make sure the information is accurate, complete, and up-to-date before you apply for a loan for a major purchase like a house or car, buy insurance, or apply for a job.
	help guard against identity theft. That’s when someone uses your personal information — like your name, your Social Security number, or your credit card number — to commit fraud. Identity thieves may use your information to open a new credit card account in your name. Then, when they don’t pay the bills, the delinquent account is reported on your credit report. Inaccurate information like that could affect your ability to get credit, insurance, or even a job.


Q: How long does it take to get my report after I order it?

A:&nbsp;If you request your report online at annualcreditreport.com, you should be able to access it immediately. If you order your report by calling toll-free 1-877-322-8228, your report will be processed and mailed to you within 15 days. If you order your report by mail using the Annual Credit Report Request Form, your request will be processed and mailed to you within 15 days of receipt.

Whether you order your report online, by phone, or by mail, it may take longer to receive your report if the nationwide consumer reporting company needs more information to verify your identity.

There also may be times when the nationwide consumer reporting companies receive a high volume of requests for credit reports. If that happens, you may be asked to re-submit your request. Or, you may be told that your report will be mailed to you sometime after 15 days from your request. If either of these events occurs, the nationwide consumer reporting companies will let you know.

Q: Are there any other situations where I might be eligible for a free report?

A: Under federal law, you’re entitled to a free report if a company takes adverse action against you, such as denying your application for credit, insurance, or employment, and you ask for your report within 60 days of receiving notice of the action. The notice will give you the name, address, and phone number of the consumer reporting company. You’re also entitled to one free report a year if you’re unemployed and plan to look for a job within 60 days; if you’re on welfare; or if your report is inaccurate because of fraud, including identity theft. Otherwise, a consumer reporting company may charge you up to $10.50 for another copy of your report within a&nbsp;
12-month period.

To buy a copy of your report, contact:


	Equifax:1-800-685-1111;&nbsp;equifax.com
	Experian: 1-888-397-3742;&nbsp;experian.com
	TransUnion: 1-800-916-8800;&nbsp;transunion.com


Under state law, consumers in Colorado, Georgia, Maine, Maryland, Massachusetts, New Jersey, and Vermont already have free access to their credit reports.

Q: Should I order a report from each of the three nationwide consumer reporting companies?

A:&nbsp;It’s up to you. Because nationwide consumer reporting companies get their information from different sources, the information in your report from one company may not reflect all, or the same, information in your reports from the other two companies. That’s not to say that the information in any of your reports is necessarily inaccurate; it just may be different.

Q: Should I order my reports from all three of the nationwide consumer reporting companies at the same time?

A: You may order one, two, or all three reports at the same time, or you may stagger your requests. It’s your choice. Some financial advisors say staggering your requests during a 12-month period may be a good way to keep an eye on the accuracy and completeness of the information in your reports.

Q: What if I find errors — either inaccuracies or incomplete information — in my credit report?

A:&nbsp;Under the FCRA, both the consumer report­ing company and the information provider (that is, the person, company, or organization that provides information about you to a consumer reporting company) are responsible for correcting inaccurate or incomplete information in your report. To take full advantage of your rights under this law, contact the consumer reporting company and the information provider.

Consumer reporting companies must investigate the items in question — usually within 30 days — unless they consider your dispute frivolous. They also must forward all the relevant data you provide about the inaccuracy to the organization that provided the information. After the information provider receives notice of a dispute from the consumer reporting company, it must investigate, review the relevant information, and report the results back to the consumer reporting company. If the information provider finds the disputed information is inaccurate, it must notify all three nationwide consumer reporting companies so they can correct the information in your file.

When the investigation is complete, the consumer reporting company must give you the written results and a free copy of your report if the dispute results in a change. (This free report does not count as your annual free report under the FACT Act.) If an item is changed or deleted, the consumer reporting company cannot put the disputed information back in your file unless the information provider verifies that it is accurate and complete. The consumer reporting company also must send you written notice that includes the name, address, and phone number of the information provider.


	Tell the consumer reporting company, in writing, what information you think is inaccurate.
	Tell the creditor or other information provider in writing that you dispute an item. Many providers specify an address for disputes. If the provider reports the item to a consumer reporting company, it must include a notice of your dispute. And if you are correct — that is, if the information is found to be inaccurate — the information provider may not report it again.


Q: What can I do if the consumer reporting company or information provider won’t correct the information I dispute?

A: If an investigation doesn’t resolve your dispute with the consumer reporting company, you can ask that a statement of the dispute be included in your file and in future reports. You also can ask the consumer reporting company to provide your state­ment to anyone who received a copy of your report in the recent past. You can expect to pay a fee for this service.

If you tell the information provider that you dispute an item, a notice of your dispute must be included any time the information provider reports the item to a consumer reporting company.

Q: How long can a consumer reporting company report negative information?

A: A consumer reporting company can report most accurate negative information for seven years and bankruptcy information for 10 years. There is no time limit on reporting information about crimi­nal convictions; information reported in response to your application for a job that pays more than $75,000 a year; and information reported because you’ve applied for more than $150,000 worth of credit or life insurance. Information about a lawsuit or an unpaid judgment against you can be reported for seven years or until the statute of limitations runs out, which­ever is longer.

Q: Can anyone else get a copy of my credit report?

A: The FCRA specifies who can access your credit report. Creditors, insurers, employers, and other businesses that use the information in your report to evaluate your applications for credit, insurance, em­ployment, or renting a home are among those that have a legal right to access your report.

Q: Can my employer get my credit report?

A:&nbsp;Your employer can get a copy of your credit report only if you agree. A consumer reporting company may not provide information about you to your employer, or to a prospective employer, without your written consent.

For More Information

The FTC works for the consumer to prevent fraudulent, deceptive, and unfair business practices in the marketplace and to provide information to help consumers spot, stop, and avoid them. To learn more about credit issues and protecting your personal information, visit&nbsp;ftc.gov/credit.

To file a complaint or to get free information on other consumer issues, visit ftc.gov or call toll-free, 1-877-FTC-HELP (1-877-382-4357); TTY: 1-866-653-4261. The FTC enters Internet, telemarketing, identity theft, and other fraud-related complaints into Consumer Sentinel, a secure online database available to hundreds of civil and criminal law enforcement agencies in the U.S. and abroad.

The FTC works to prevent fraudulent, deceptive and unfair business practices in the marketplace and to provide information to help consumers spot, stop and avoid them. To file a&nbsp;complaint&nbsp;or get&nbsp;free information on consumer issues, visit&nbsp;ftc.gov&nbsp;or call toll-free, 1-877-FTC-HELP (1-877-382-4357); TTY: 1-866-653-4261. Watch&nbsp;a video,&nbsp;How to File a Complaint, at&nbsp;ftc.gov/video&nbsp;to learn more. The FTC enters consumer complaints&nbsp;into the&nbsp;Consumer Sentinel Network, a secure online database and investigative tool used by hundreds of civil and criminal law enforcement agencies in the U.S. and abroad.

This fact sheet is from the Federal Trade Commission website.

&nbsp;
",
