No,URL,Title,Topic,Tags,NSMI-TLT,Body
392,http://www.lscd.com/node/429,Should I file for bankruptcy?,Bankruptcy,,Bankruptcy,"There are many different reasons to file or not.&nbsp; If you are unsure, you should speak to an attorney for advice.&nbsp; It is important to remember that bankruptcy will not fix everyoneâ€™s money problems.When you try to decide what to do, you should first make a monthly budget.&nbsp; List, and add up, all of your regular monthly expenses for necessities.&nbsp; Include expenses like:&nbsp; rent/mortgage payments, utilities, food, gas or bus fare, clothing, and other regular monthly expenses that you expect to have even after bankruptcy.&nbsp; If you have a car loan and you want to keep the car, include the car payments too.&nbsp; Then add up the monthly income for everyone in the house who shares expenses.&nbsp; Include your job, public benefit checks, food stamps, pensions, or disability payments.If your income is a lot less than your expenses, then bankruptcy might not help.&nbsp; Bankruptcy only wipes out old debts.&nbsp; So if your budget shows that you will have trouble making ends meet after bankruptcy, or if you think you will still need to use credit cards or borrow money after filing, then you need to think about getting a second job or cutting expenses (for example, by getting a cheaper car or apartment).Also look at how old your debts are.&nbsp; Most consumer debts only stay on your credit report for seven years.&nbsp; A bankruptcy will stay for ten years.&nbsp; So, if your debts are a few years old, it might be better to just hang in there for a few more years until they are taken off your credit report and your creditors give up (or until you can pay them)."
125,http://www.lscd.com/node/150,Facts About Bankruptcy,"Home Purchase, Improvement and Foreclosure
Collection/Repossession
Bankruptcy",,"Bankruptcy
","A decision to file for bankruptcy should only be made after determining  that bankruptcy  is the best way to deal with your financial problems.  This web page  will answer some of your questions regarding bankruptcy in Delaware.&nbsp;                                            Contributed by: Legal Services Corporation of  Delaware, Inc.  Last Reviewed: 07/17/2009Click here for a pdf version of this document"
126,http://www.lscd.com/node/151,Bankruptcy Basics,Bankruptcy,,"Bankruptcy
","This pamphlet provides basic information to debtors, creditors, court personnel, the media, and the general public on different aspects of the federal bankruptcy laws. &nbsp; Contributed by: Administrative Office of the U. S. Courts Last Reviewed: 07/17/2009http://www.uscourts.gov/FederalCourts/Bankruptcy/BankruptcyBasics.aspx"
127,http://www.lscd.com/node/152,Bankruptcy Basics - Chapter 13,Bankruptcy,,"Bankruptcy
",Fact sheet explaining Chapter 13 Bankruptcy.  The purpose of Chapter 13  is to enable financially distressed debtors to propose and carry out a  repayment plan under which creditors are paid over an extended period of time. &nbsp;                                            Contributed by: Administrative Office of the U.  S. Courts  Last Reviewed: 07/17/2009http://www.uscourts.gov/FederalCourts/Bankruptcy/BankruptcyBasics/Chapter13.aspx
128,http://www.lscd.com/node/153,Bankruptcy Basics - Chapter 7,Bankruptcy,,"Bankruptcy
","Fact Sheet explaining Chapter 7 Bankruptcy, also know as ""liquidation.""   &nbsp;                                            Contributed by: Administrative Office of the U.  S. Courts  Last Reviewed: 07/17/2009http://www.uscourts.gov/FederalCourts/Bankruptcy/BankruptcyBasics/Chapter7.aspx"
129,http://www.lscd.com/node/154,Credit Repair Clinics,"Credit
Collection/Repossession
Credit Access
Bankruptcy",,"Bankruptcy
",You can repair your credit yourself -- and save hundreds or even  thousands of dollars.&nbsp;                                            Contributed by: Nolo  Last Reviewed: 07/17/2009http://www.nolo.com/legal-encyclopedia/article-30062.html
130,http://www.lscd.com/node/155,Credit Reports,"Collection/Repossession
Credit Access
Bankruptcy",,"Bankruptcy
","Searching for your Free Credit Report?  Important information from the Federal Trade Commission, the nationâ€™s  consumer protection agency: annualcreditreport.com is the ONLY  authorized online source for you to get a free credit report under  federal law. You can get a free report from each of the three national  credit reporting companies every 12 months. Some other sites claim to  offer ""free"" credit reports, but may charge you for another product if  you accept a ""free"" report.&nbsp;                                            Contributed by: Federal Trade Commission  Last Reviewed: 07/17/2009http://www.ftc.gov/freereports"
131,http://www.lscd.com/node/156,Credit Scoring,"Credit
Collection/Repossession
Credit Access
Bankruptcy",,"Bankruptcy
",Learn what a credit score is and how to improve it.&nbsp;                                            Contributed by: Nolo  Last Reviewed: 07/17/2009http://www.nolo.com/legal-encyclopedia/article-30137.html
133,http://www.lscd.com/node/158,Informacion Para La Bancarrota (Espanol),Bankruptcy,,"Bankruptcy
",Last Reviewed: 07/17/2009haga clic aquÃ_ por el documento
135,http://www.lscd.com/node/160,Personal Bankruptcy Basics in Maryland,Bankruptcy,,"Bankruptcy
",Questions and Answers from the People's Law Library of Maryland&nbsp; Contributed by: Maryland Legal Assistance Network Last Reviewed: 07/17/2009http://www.peoples-law.org/node/481
136,http://www.lscd.com/node/161,Rebuilding Credit FAQ,"Credit
Collection/Repossession
Credit Access
Bankruptcy",,"Bankruptcy
",Answers to your questions about improving a poor credit rating. &nbsp;                                            Contributed by: Nolo  Last Reviewed: 07/17/2009http://www.nolo.com/legal-encyclopedia/faqEditorial-29128.html
228,http://www.lscd.com/node/253,Facts About Age Discrimination (EEOC),"Discrimination
Discrimination",,"Civil Rights
",http://www.eeoc.gov/facts/age.html
301,http://www.lscd.com/node/327,ACLU Delaware,"Civil Rights
Criminal Law",,"Civil Rights
",Home Web Page for the American Civil Liberties Union in  Delaware.&nbsp;                                            Contributed by: ACLU of Delaware  Last Reviewed: 06/01/2004http://www.aclu-de.org/default.htm
302,http://www.lscd.com/node/328,Rights of the Accused (Public Defender's Office),"Civil Rights
Criminal Law",,"Civil Rights
",http://publicdefender.delaware.gov/
303,http://www.lscd.com/node/329,You and the Police (ACLU - Delaware),"Civil Rights
Criminal Law",,"Civil Rights
",Contributed by: ACLU  Last Reviewed: 07/17/2009Click here to download
107,http://www.lscd.com/node/125,Auto Service Contracts,"Contracts/Warranties
Automobiles",,Consumer,"Buying a car? You also may be encouraged to buy an auto service contract  to help protect against unexpected, costly repairs. While it may sound  like a good idea, don't buy in until you understand both the terms of  the contract and who is responsible for providing the coverage.&nbsp;                                            Contributed by: Federal Trade Commission  Last Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/aut02.shtm"
108,http://www.lscd.com/node/126,Avoiding Auto Repair Fraud,"Consumer Laws
General Elder Law
Contracts/Warranties
Automobiles",,Consumer,"Tips to protect yourself from being victimized by unscrupulous auto repair shops.&nbsp; Contributed by: Attorney General, State of Delaware Last Reviewed: 07/17/2009http://attorneygeneral.delaware.gov/consumers/protection/brochure/autorepair.shtml"
109,http://www.lscd.com/node/131,Buying A New Car,Automobiles,,Consumer,"A new car is second only to a home as the most expensive purchase many consumers make. According to the National Automobile Dealers Association, the average price of a new car sold in the United States is $28,400. Thatâ€™s why itâ€™s important to know how to make a smart deal.Contributed by: Federal Trade CommissionLast Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/aut11.shtm"
110,http://www.lscd.com/node/132,Buying A New Car (En Espanol),Automobiles,,Consumer,"La compra de un auto nuevo es una de las compras de mayor costo de muchos consumidores y es solamente superada por la compra de una vivienda. De acuerdo a los datos suministrados por la AsociaciÃ_n Nacional de Concesionarios de AutomÃ_viles (National Automibile Dealers Association), en Estados Unidos el precio promedio de un auto nuevo es de $28,400. Por esta razÃ_n, es importante saber cÃ_mo hacer un buen negocio.Last Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/saut11.shtm"
111,http://www.lscd.com/node/133,Buying A Used Car,Automobiles,,Consumer,"Before you start shopping for a car, you'll need to do some homework. Spending time now may save you serious money later. Think about your driving habits, your needs, and your budget. You can learn about car models, options, and prices by reading newspaper ads, both display and classified. There is a wealth of information about used cars on the Internet: enter ""used car"" as the key words and you'll find additional information on how to buy a used car, detailed instructions for conducting a pre-purchase inspection, and ads for cars available for sale, among other information. Libraries and book stores also have publications that compare car models, options, and costs, and offer information about frequency-of-repair records, safety tests, and mileage. Many of these publications have details on the do's and don'ts of buying a used car.Contributed by: Federal Trade CommissionLast Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/aut03.shtm"
112,http://www.lscd.com/node/134,Buying A Used Car (En Espanol),Automobiles,,Consumer,http://www.ftc.gov/bcp/edu/pubs/consumer/autos/saut03.shtm
113,http://www.lscd.com/node/135,Car Ads: Reading Between the lines,Automobiles,,Consumer,"Many new car dealers advertise unusually low interest rates and other  special promotions. Ads promising high trade-in allowances and free or  low-cost options may help you shop, but finding the best deal requires  careful comparisons.&nbsp;                                            Contributed by: Federal Trade Commission  Last Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/aut05.shtm"
114,http://www.lscd.com/node/136,Delaware Lemon Law,Automobiles,,Consumer,Contributed by: Delaware Attorney General's Office  Last Reviewed: 07/17/2009http://attorneygeneral.delaware.gov/consumers/protection/brochure/lemonlaw.shtml
115,http://www.lscd.com/node/137,Delaware Lemon Law (Brochure),"Consumer Laws
Automobiles",,Consumer,Contributed by: Delaware Attorney General's Office  Last Reviewed: 07/17/2009Click here for a pdf version of the brochure
116,http://www.lscd.com/node/138,How to Start a Civil Action in the JP Court,"Consumer Laws
Court Forms
Court Procedures and Information
Collection/Repossession
Automobiles
Small Claims Action",,Consumer,"Justice of the Peace Court's on-line ""how to"" assistance with sample forms and instructions for starting a civil action.&nbsp; Contributed by: JP Court Last Reviewed: 07/17/2009http://courts.delaware.gov/Help/Proceedings/jp_startcivil.stm"
118,http://www.lscd.com/node/141,Taking The Scare Out Of Auto Repair,Automobiles,,Consumer,"The best way to avoid auto repair rip-offs is to be prepared. Knowing  how your vehicle works and how to identify common car problems is a good  beginning. It's also important to know how to select a good technician,  the kinds of questions to ask, and your consumer rights.&nbsp;                                            Contributed by: Federal Trade Commission  Last Reviewed: 07/17/2009http://www.ftc.gov/bcp/edu/pubs/consumer/autos/aut13.shtm"
119,http://www.lscd.com/node/142,Vehicle Repossesion In Delaware,"Collection/Repossession
Automobiles",,Consumer,"When you finance or lease a car, truck or other vehicle, you usually  give the creditor an interest in the vehicle to secure the loan debt.  This interest allows the creditor to take your vehicle when you have  missed loan payments and have not resolved the problem. Read this  brochure to find out your rights.&nbsp;                                            Contributed by: Legal Services Corporation of  Delaware, Inc.  Last Reviewed: 07/17/2009http://www.lscd.com/vehicleRepossessionInDe"
